  ;Poids-kg;Diam-m;Def-m;Fmax-N;Fermeté/dép;Travail;p.c.perte;Pression;L surimp;a surimp;b surimp;L fond;a fond;b fond;Ethylène (nmole/h.kg;Log(éthyl);IR (°Brix);AT (meq/100gMF);glucose (g/100gMF);fructose (g/100gMF);saccharose (g/100gMF;citrate (meq/100gMF);malate (meq/100gMF)
go1p23                                   ;0.0634 ;0.045325 ;0.00135 ;27.68 ;20507 ;18.69 ;0.66 ;292.38 ;54.81 ;3.37 ;37.3 ;60.4 ;-1.36 ;45.69 ;3.325 ;1.2 ;8.8 ;33.85 ;1.25 ;0.57 ;2.66 ;30.42 ;8.34
go1p24                                   ;0.0683 ;0.045562 ;0.00135 ;35.95 ;26632 ;24.27 ;0.55 ;377.71 ;50.91 ;8.53 ;31.18 ;63.36 ;-4.85 ;47.57 ;1.901 ;0.64 ;9.3 ;33.08 ;1.32 ;0.57 ;2.65 ;30.37 ;8.18
go1p25                                   ;0.0595 ;0.04325 ;0.0012875 ;20.68 ;16062 ;13.31 ;0.66 ;239.99 ;51.1 ;30.23 ;27.65 ;64.04 ;2.24 ;46.76 ;5.259 ;1.66 ;9.4 ;29.81 ;1.58 ;0.73 ;2.85 ;26.61 ;6.88
go1p26                                   ;0.0671 ;0.045425 ;0.00135 ;21.23 ;15725 ;14.33 ;0.72 ;223.71 ;54.18 ;10.81 ;37.6 ;66.48 ;3.27 ;51.25 ;9.947 ;2.3 ;9.1 ;30.68 ;1.5 ;0.55 ;3.17 ;27.28 ;8.49
go1p27                                   ;0.0735 ;0.04625 ;0.001375 ;22.63 ;16459 ;15.56 ;0.7 ;229.98 ;55.8 ;13.61 ;37.73 ;63.91 ;3.18 ;47.71 ;7.048 ;1.95 ;9.6 ;29.05 ;1.57 ;0.55 ;3.22 ;26.48 ;6.84
go1p28                                   ;0.0745 ;0.048375 ;0.0014375 ;21.67 ;15075 ;15.58 ;0.78 ;201.38 ;62.44 ;13.04 ;44.08 ;66.21 ;4.01 ;54.26 ;8.222 ;2.11 ;9.1 ;29.56 ;1.53 ;0.63 ;3.47 ;21.89 ;6.12
go1p29                                   ;0.0679 ;0.0454 ;0.00135 ;22.39 ;16583 ;15.11 ;0.74 ;236.04 ;59.76 ;11.69 ;45.74 ;64.58 ;4.13 ;51.23 ;6.052 ;1.8 ;9.2 ;32.44 ;1.45 ;0.6 ;3.56 ;28.49 ;8.2
go1p30                                   ;0.0748 ;0.049388 ;0.001475 ;26.31 ;17838 ;19.4 ;0.73 ;233.42 ;61.33 ;4.96 ;44.16 ;63.32 ;-0.25 ;48.47 ;4.161 ;1.43 ;9.3 ;33.61 ;1.35 ;0.58 ;3.42 ;27.76 ;7.62
go1p31                                   ;0.0676 ;0.0451 ;0.0013375 ;14.77 ;11046 ;9.88 ;0.94 ;158.27 ;58.65 ;14.4 ;41.25 ;63.08 ;3.59 ;48.88 ;8.054 ;2.09 ;8.8 ;30.28 ;1.32 ;0.55 ;3.89 ;27.32 ;7.31
go1p32                                   ;0.0551 ;0.04265 ;0.0012625 ;17.2 ;13621 ;10.86 ;0.79 ;206.37 ;55.73 ;9.34 ;35.38 ;63.39 ;0.28 ;47.56 ;5.404 ;1.69 ;6.6 ;29.07 ;1.03 ;0.43 ;2.09 ;27.76 ;6.12
go1p33                                   ;0.0657 ;0.046663 ;0.0013875 ;17.7 ;12755 ;12.28 ;0.75 ;176.64 ;61.05 ;11.42 ;42.92 ;62.79 ;-1.68 ;49.48 ;13.448 ;2.6 ;10.3 ;28.95 ;1.5 ;0.58 ;4.33 ;28.98 ;7.33
go1p34                                   ;0.0773 ;0.047488 ;0.0014125 ;24.26 ;17175 ;17.13 ;0.76 ;233.73 ;60.91 ;9.27 ;49.46 ;63.62 ;1.4 ;50.39 ;5.788 ;1.76 ;9.8 ;34.09 ;1.39 ;0.57 ;3.73 ;29.11 ;8.75
go1p35                                   ;0.0666 ;0.04435 ;0.0013125 ;25.23 ;19224 ;16.56 ;0.7 ;280.09 ;58.47 ;5.77 ;44.74 ;63.42 ;-1.82 ;48.66 ;4.68 ;1.54 ;9.4 ;32.37 ;1.49 ;0.65 ;3.26 ;27.62 ;8.47
go1p36                                   ;0.0615 ;0.045062 ;0.0013375 ;17.86 ;13356 ;11.95 ;0.92 ;191.53 ;59.07 ;11.43 ;46.75 ;63.75 ;3.21 ;51.22 ;5.183 ;1.65 ;10 ;33.64 ;1.65 ;0.63 ;3.66 ;31.28 ;7.92
go1p37                                   ;0.084 ;0.050862 ;0.0015125 ;20.9 ;13815 ;15.8 ;0.84 ;175.53 ;65.04 ;6.67 ;50.56 ;65.36 ;0.49 ;48.17 ;8.29 ;2.12 ;9.9 ;36.21 ;1.52 ;0.62 ;4.03 ;31.18 ;9.08
go1p38                                   ;0.0565 ;0.042513 ;0.0012625 ;20.48 ;16224 ;12.93 ;0.79 ;246.62 ;58.9 ;2.92 ;47.92 ;60.39 ;-7.13 ;46.39 ;3.32 ;1.2 ;8.4 ;33.09 ;1.25 ;0.52 ;2.75 ;28.04 ;8.63
go1p39                                   ;0.0629 ;0.044612 ;0.001325 ;17.67 ;13334 ;11.7 ;0.73 ;193.15 ;58.94 ;7.14 ;39.58 ;64.58 ;2.55 ;47.72 ;4.666 ;1.54 ;9.5 ;33.65 ;1.4 ;0.6 ;3.71 ;23.46 ;6.87
go1p40                                   ;0.0597 ;0.045125 ;0.0013375 ;15.08 ;11273 ;10.08 ;1 ;161.43 ;56.72 ;10.43 ;41.07 ;62.21 ;1.22 ;47.72 ;7.236 ;1.98 ;9.7 ;33.65 ;1.4 ;0.57 ;3.7 ;29.62 ;7.59
mo2p01                                   ;0.0778 ;0.048912 ;0.00145 ;2.05 ;1414 ;1.49 ;1.41 ;18.68 ;64.73 ;11.09 ;36.25 ;65.81 ;-1.13 ;29.77 ;4451.1 ;8.4 ;15 ;16.75 ;1.71 ;0.74 ;5.74 ;13.23 ;6.21
mo2p02                                   ;0.0634 ;0.044187 ;0.0013125 ;6.17 ;4701.3 ;4.05 ;1.47 ;68.75 ;66.65 ;11.4 ;35.32 ;76.33 ;-1.39 ;35.21 ;4631.1 ;8.44 ;15.3 ;20.83 ;1.51 ;0.69 ;5.47 ;19.3 ;6.22
mo2p03                                   ;0.0618 ;0.043812 ;0.0013 ;17.99 ;13840 ;11.69 ;0.94 ;204.13 ;68.54 ;2.67 ;32.07 ;71.34 ;-5.25 ;41.59 ;13.12 ;2.57 ;11.6 ;22.99 ;1.6 ;0.79 ;2.99 ;18.78 ;6.62
mo2p04                                   ;0.0738 ;0.046738 ;0.0013875 ;11.75 ;8470.2 ;8.15 ;0.99 ;117.11 ;75.46 ;-0.02 ;40.87 ;75.81 ;-3.8 ;44.67 ;282.7 ;5.64 ;13.5 ;22.85 ;1.87 ;0.83 ;5.36 ;21.63 ;7.04
mo2p05                                   ;0.089 ;0.050287 ;0.0015 ;20.25 ;13499 ;15.19 ;0.82 ;173.47 ;72.73 ;0.42 ;41.44 ;73.09 ;-4.77 ;41.04 ;16.052 ;2.78 ;11.6 ;23.25 ;1.88 ;0.99 ;4.33 ;21.82 ;6.87
mo2p06                                   ;0.1039 ;0.053962 ;0.0016125 ;9.75 ;6047.2 ;7.86 ;1.37 ;72.42 ;62.72 ;11.02 ;29.35 ;71.5 ;1.02 ;36.05 ;1195.5 ;7.09 ;13.5 ;24.74 ;1.71 ;0.79 ;6.23 ;23.06 ;6.45
mo2p07                                   ;0.0856 ;0.048813 ;0.00145 ;15.6 ;10757 ;11.31 ;0.87 ;142.41 ;69.16 ;3.84 ;35.42 ;73.34 ;-4.38 ;37.91 ;447.01 ;6.1 ;13.2 ;23.92 ;1.93 ;0.94 ;5.89 ;21.86 ;6.89
mo2p08                                   ;0.0743 ;0.047275 ;0.0014 ;3.36 ;2396.4 ;2.35 ;1.48 ;32.76 ;66.23 ;5.75 ;33.13 ;72.77 ;-0.16 ;40.13 ;5678.8 ;8.64 ;14.9 ;17.38 ;2 ;0.83 ;8.02 ;16.7 ;6.34
mo2p09                                   ;0.091 ;0.049975 ;0.0014875 ;3.18 ;2136.8 ;2.36 ;1.25 ;27.63 ;57.13 ;11.62 ;29.72 ;75.38 ;-2.49 ;33.46 ;2443.5 ;7.8 ;14.4 ;17.36 ;2.13 ;0.93 ;7.34 ;16.05 ;6.57
mo2p10                                   ;0.0642 ;0.045875 ;0.0013625 ;11.88 ;8719.2 ;8.09 ;1.09 ;122.82 ;72.56 ;3.74 ;40.37 ;75.36 ;-3.68 ;37.15 ;23.061 ;3.14 ;12.3 ;20.13 ;1.95 ;0.94 ;5.48 ;18.02 ;7.28
mo2p11                                   ;0.0776 ;0.047662 ;0.0014125 ;14.61 ;10341 ;10.32 ;0.89 ;140.2 ;72.75 ;2.93 ;42.11 ;75.37 ;-5.24 ;36.85 ;41.748 ;3.73 ;12.5 ;22.26 ;2.02 ;0.96 ;5.35 ;20.29 ;7.11
mo2p12                                   ;0.0761 ;0.048 ;0.001425 ;25.94 ;18202 ;18.48 ;0.65 ;245.05 ;62.04 ;13.79 ;29.86 ;70.2 ;-3.84 ;38.88 ;5.624 ;1.73 ;11.3 ;23.04 ;1.99 ;1 ;3.46 ;21.26 ;6.92
mo2p13                                   ;0.0749 ;0.046525 ;0.0013875 ;2.66 ;1916 ;1.84 ;1.34 ;26.61 ;61.96 ;14.23 ;30.85 ;61.95 ;-1.43 ;25.25 ;3258 ;8.09 ;15.2 ;18.37 ;2.48 ;1.19 ;8.05 ;16.49 ;7.07
mo2p14                                   ;0.0733 ;0.04825 ;0.0014375 ;19.28 ;13410 ;13.86 ;0.83 ;179.61 ;72.2 ;-4.98 ;40.89 ;75.97 ;-5.84 ;37.13 ;10.143 ;2.32 ;11.7 ;21.31 ;1.76 ;0.91 ;4.51 ;20.17 ;6.86
mo2p15                                   ;0.0602 ;0.043088 ;0.001275 ;6.85 ;5370.5 ;4.37 ;1.39 ;80.54 ;69.56 ;5.8 ;32.24 ;70.98 ;1.55 ;32.16 ;1706.5 ;7.44 ;13.6 ;19.32 ;1.98 ;0.92 ;6.64 ;16.97 ;6.89
mo2p16                                   ;0.091 ;0.050537 ;0.0015 ;7.81 ;5205.8 ;5.86 ;1.26 ;66.57 ;68.82 ;11.78 ;38.31 ;76.12 ;-3.46 ;37.2 ;2466.4 ;7.81 ;14.3 ;20.56 ;1.95 ;0.9 ;7.27 ;17.81 ;6.49
mo2p17                                   ;0.078 ;0.048763 ;0.00145 ;14.78 ;10196 ;10.72 ;0.9 ;135.12 ;74.7 ;1.92 ;39.29 ;74.61 ;-5.58 ;34.94 ;111.9 ;4.72 ;12.7 ;23.91 ;1.91 ;0.92 ;5.94 ;22.55 ;7.11
mo2p18                                   ;0.0773 ;0.048825 ;0.00145 ;18.56 ;12800 ;13.46 ;0.77 ;169.42 ;72.82 ;-1.24 ;39.39 ;78.15 ;-6.07 ;38.11 ;23.057 ;3.14 ;12.8 ;23.45 ;2.04 ;1 ;5.25 ;21.93 ;6.91
mo2p19                                   ;0.0757 ;0.047725 ;0.001425 ;17.07 ;11979 ;12.16 ;0.84 ;162.21 ;74.49 ;-0.88 ;43.86 ;78.87 ;-7.23 ;35.61 ;19.274 ;2.96 ;13.2 ;26.47 ;1.98 ;0.98 ;4.85 ;25.04 ;6.73
mo2p20                                   ;0.0672 ;0.04525 ;0.00135 ;3.36 ;2485.2 ;2.26 ;1.19 ;35.49 ;55.38 ;24.14 ;29.45 ;60.7 ;-0.54 ;26.44 ;2509.6 ;7.83 ;16.8 ;22.79 ;2.47 ;1.07 ;7.81 ;19.86 ;7.14
mo2p21                                   ;0.0638 ;0.044175 ;0.0013125 ;5.34 ;4066 ;3.5 ;1.61 ;59.48 ;63.77 ;14.36 ;38.28 ;74.65 ;0.55 ;41.22 ;6322.4 ;8.75 ;15.5 ;19.08 ;2.26 ;0.9 ;6.62 ;18.19 ;6.68
mo2p22                                   ;0.0698 ;0.046587 ;0.0013875 ;20.23 ;14579 ;14.03 ;0.72 ;202.23 ;64.6 ;14.76 ;38.02 ;76.12 ;-6.32 ;41.45 ;11.083 ;2.41 ;12.7 ;22.81 ;2.11 ;0.92 ;4.77 ;21.19 ;6.45
mo2p23                                   ;0.0761 ;0.048712 ;0.00145 ;10.49 ;7232.3 ;7.6 ;1.21 ;95.95 ;76.13 ;3.03 ;38.04 ;78.26 ;-3.06 ;35.65 ;548.35 ;6.31 ;13.2 ;18.75 ;1.67 ;0.8 ;5.64 ;17.32 ;6.48
mo2p24                                   ;0.0604 ;0.044075 ;0.0013125 ;14.51 ;11054 ;9.52 ;0.82 ;162.08 ;71.63 ;5.97 ;39.14 ;78.29 ;-2.27 ;36.43 ;26.297 ;3.27 ;13 ;20.3 ;2.04 ;1.02 ;4.87 ;18.66 ;7.35
mo2p25                                   ;0.0776 ;0.047888 ;0.001425 ;9.78 ;6863.6 ;6.97 ;1.38 ;92.62 ;75.57 ;-1.96 ;35.26 ;75.77 ;-2.93 ;31.19 ;1387 ;7.23 ;13.9 ;24.28 ;1.91 ;0.89 ;7.03 ;22.59 ;7.34
mo2p26                                   ;0.0732 ;0.046525 ;0.0013875 ;4.57 ;3294.8 ;3.17 ;1.48 ;45.77 ;72.18 ;6.03 ;36.07 ;76.73 ;-1.03 ;38.74 ;4131.6 ;8.33 ;14.4 ;19.89 ;1.91 ;0.84 ;6.75 ;17.47 ;5.78
mo2p27                                   ;0.0606 ;0.043725 ;0.0013 ;9.35 ;7191.5 ;6.08 ;1.23 ;106.29 ;74.28 ;1.88 ;40.14 ;73.99 ;-2.3 ;35.21 ;1119.1 ;7.02 ;13.8 ;20.76 ;2.45 ;1.09 ;8.14 ;17.85 ;6.39
mo2p28                                   ;0.0621 ;0.04425 ;0.0013125 ;16.41 ;12504 ;10.77 ;0.71 ;182.61 ;70.28 ;8.55 ;40.15 ;78.3 ;-5.26 ;37.56 ;13.827 ;2.63 ;13.2 ;22.01 ;2.84 ;1.21 ;5.77 ;21.6 ;7.07
mo2p29                                   ;0.0848 ;0.050438 ;0.0015 ;11.89 ;7926.5 ;8.92 ;1.04 ;101.56 ;71.12 ;7.36 ;35.27 ;76.9 ;-4.99 ;34.72 ;674.57 ;6.51 ;13.5 ;22.51 ;2.53 ;1.16 ;8.8 ;19.67 ;6.7
mo2p30                                   ;0.0836 ;0.0499 ;0.0014875 ;13.78 ;9265.9 ;10.25 ;0.85 ;120 ;69.96 ;8.88 ;35.51 ;75.13 ;-4.85 ;35.3 ;508.74 ;6.23 ;13.2 ;21.06 ;2.4 ;1.04 ;7.14 ;17.49 ;6.29
mo2p31                                   ;0.0738 ;0.047637 ;0.0014125 ;8.99 ;6361.7 ;6.35 ;1.36 ;86.3 ;72.73 ;2.86 ;39.68 ;75.75 ;-4.31 ;36.96 ;495.19 ;6.2 ;13.7 ;21.9 ;2.59 ;1.09 ;7.93 ;20.13 ;6.41
mo2p32                                   ;0.0695 ;0.047613 ;0.0014125 ;6.13 ;4340.7 ;4.33 ;1.58 ;58.91 ;70.52 ;6.25 ;35.88 ;77.18 ;-2.68 ;36.57 ;2580.2 ;7.86 ;14.4 ;18.44 ;2.35 ;0.98 ;8.55 ;15.47 ;6.04
mo2p33                                   ;0.0832 ;0.05115 ;0.001525 ;20.16 ;13219 ;15.37 ;0.73 ;167.02 ;73.28 ;0.01 ;39.93 ;76.82 ;-4.76 ;36.1 ;35.569 ;3.57 ;12.3 ;23.14 ;2.08 ;1.08 ;6.03 ;19.92 ;7.16
mo2p34                                   ;0.0681 ;0.04665 ;0.0013875 ;13.18 ;9502.4 ;9.15 ;1.02 ;131.63 ;71.85 ;5.62 ;46.39 ;75.59 ;-4.31 ;35.55 ;290.94 ;5.67 ;12.4 ;21.28 ;2.02 ;0.97 ;5.98 ;18.72 ;6.71
mo2p35                                   ;0.0843 ;0.050575 ;0.0015 ;10.51 ;7004.3 ;7.88 ;1.04 ;89.5 ;75.13 ;0.54 ;38.61 ;75.33 ;-2.86 ;39.9 ;200.56 ;5.3 ;14.4 ;20.53 ;2.28 ;1 ;6.66 ;17.14 ;6.95
mo2p36                                   ;0.0741 ;0.048138 ;0.0014375 ;19.81 ;13778 ;14.24 ;0.75 ;184.98 ;71.31 ;3.66 ;43.93 ;75.91 ;-5.56 ;39.57 ;13.123 ;2.57 ;11.7 ;22.99 ;1.88 ;0.98 ;4.51 ;19.45 ;6.72
mo2p37                                   ;0.0762 ;0.048025 ;0.001425 ;4.6 ;3228.7 ;3.28 ;1.61 ;43.44 ;74.11 ;5.16 ;35.99 ;78.57 ;-2.45 ;40.86 ;4607.4 ;8.44 ;14.2 ;15.69 ;2.07 ;0.82 ;8.01 ;15.21 ;6.26
mo2p38                                   ;0.0799 ;0.049463 ;0.001475 ;12.88 ;8732.6 ;9.5 ;1.09 ;114.1 ;72.6 ;1.79 ;40.69 ;75.15 ;-0.02 ;44.29 ;30.059 ;3.4 ;12.8 ;19.83 ;2.37 ;1.05 ;5.74 ;18.95 ;7.15
mo2p39                                   ;0.0702 ;0.046175 ;0.001375 ;12.48 ;9075.1 ;8.58 ;0.89 ;127.01 ;71.71 ;4.55 ;38.45 ;76.85 ;-2.53 ;41.93 ;306.18 ;5.72 ;13.9 ;22.83 ;2.28 ;1 ;6.23 ;20.42 ;7.18
mo2p40                                   ;0.071 ;0.047425 ;0.0014125 ;13.99 ;9903.8 ;9.88 ;0.92 ;134.96 ;67.91 ;9.41 ;41.26 ;78.6 ;-5.13 ;42.28 ;19.795 ;2.99 ;12.2 ;21.71 ;2.07 ;0.9 ;4.83 ;20.33 ;6.03
mo1p01                                   ;0.0776 ;0.051 ;0.0015125 ;35.44 ;23434 ;26.8 ;0.59 ;296.92 ;69.21 ;-8.01 ;39.55 ;72.86 ;-9.65 ;35.83 ;3.969 ;1.38 ;10.6 ;30.18 ;2.26 ;0.8 ;0.52 ;25.5 ;5.57
mo1p02                                   ;0.0623 ;0.04535 ;0.00135 ;35.97 ;26647 ;24.28 ;0.5 ;379.72 ;63.44 ;3 ;35.06 ;72.71 ;-7.12 ;35.11 ;4.922 ;1.59 ;10.3 ;27.98 ;2.06 ;0.75 ;1.29 ;26.1 ;5.63
mo1p03                                   ;0.0603 ;0.045225 ;0.00135 ;43.04 ;31879 ;29.05 ;0.5 ;455.55 ;68.26 ;-0.78 ;37.47 ;66.87 ;-8.71 ;32.89 ;1.839 ;0.61 ;9.8 ;30.39 ;1.87 ;0.74 ;0.89 ;27.07 ;5.95
mo1p04                                   ;0.0586 ;0.04485 ;0.0013375 ;30.69 ;22943 ;20.52 ;0.53 ;330.59 ;70.01 ;-0.37 ;38.78 ;74.09 ;-8.97 ;34.33 ;6.417 ;1.86 ;10.3 ;27.61 ;1.88 ;0.71 ;1.48 ;25.86 ;5.76
mo1p05                                   ;0.0526 ;0.043388 ;0.0012875 ;36.71 ;28512 ;23.63 ;0.46 ;424.65 ;69.06 ;-4.34 ;37.3 ;71.2 ;-9.26 ;35.56 ;2.689 ;0.99 ;13.4 ;28.83 ;1.66 ;0.75 ;1.95 ;27.14 ;6.27
mo1p06                                   ;0.067 ;0.047613 ;0.0014125 ;44.36 ;31406 ;31.33 ;0.5 ;426.25 ;70.41 ;-9.38 ;37.67 ;70.26 ;-10.65 ;36 ;3.23 ;1.17 ;9.4 ;29.34 ;1.75 ;0.66 ;1.49 ;28.49 ;6.12
mo1p07                                   ;0.0558 ;0.045175 ;0.0013375 ;28.64 ;21410 ;19.15 ;0.5 ;306.24 ;68.58 ;-5.03 ;37.86 ;71.6 ;-8.47 ;34.71 ;5.555 ;1.71 ;10.6 ;27.04 ;1.62 ;0.71 ;2.61 ;24.19 ;5.48
mo1p08                                   ;0.0653 ;0.048162 ;0.0014375 ;30.23 ;21033 ;21.73 ;0.62 ;282.22 ;69.75 ;-5.74 ;39.54 ;70.88 ;-8.72 ;34.02 ;3.806 ;1.34 ;10.7 ;27.37 ;1.82 ;0.65 ;2.24 ;26.71 ;6.24
mo1p09                                   ;0.0517 ;0.043463 ;0.0012875 ;37.72 ;29297 ;24.28 ;0.46 ;435.58 ;64.02 ;-5.12 ;37.53 ;70.14 ;-9.25 ;31.31 ;5.237 ;1.66 ;9.8 ;29.46 ;2.09 ;0.74 ;0.87 ;28.17 ;5.8
mo1p10                                   ;0.0579 ;0.045262 ;0.00135 ;33.57 ;24867 ;22.66 ;0.52 ;355.04 ;68.09 ;-0.86 ;38.09 ;70.62 ;-8.85 ;36.86 ;2.354 ;0.86 ;11.2 ;29.84 ;1.79 ;0.81 ;1.77 ;28.9 ;5.76
mo1p11                                   ;0.0651 ;0.04615 ;0.001375 ;34.5 ;25092 ;23.72 ;0.54 ;351.37 ;64.29 ;4.54 ;33.04 ;71.96 ;-8.45 ;38.27 ;6.061 ;1.8 ;11.3 ;27.78 ;1.8 ;0.79 ;2.08 ;27.98 ;5.43
mo1p12                                   ;0.0839 ;0.051562 ;0.0015375 ;33.36 ;21700 ;25.65 ;0.68 ;271.98 ;74.15 ;-7.47 ;37.59 ;73.45 ;-7.43 ;37.4 ;5.572 ;1.72 ;11 ;25.64 ;1.79 ;0.79 ;2.71 ;26.11 ;5.28
mo1p13                                   ;0.0473 ;0.042287 ;0.00125 ;28.86 ;23089 ;18.04 ;0.44 ;352.81 ;53.82 ;22.93 ;27.62 ;71.15 ;-8.29 ;40.69 ;3.605 ;1.28 ;11.2 ;23.99 ;2.25 ;0.85 ;1.22 ;23.85 ;5.35
mo1p14                                   ;0.0522 ;0.04285 ;0.001275 ;42.98 ;33708 ;27.4 ;0.47 ;508.36 ;59 ;11.41 ;30.78 ;64.64 ;-5.46 ;37.3 ;5.558 ;1.72 ;10.3 ;26.03 ;1.57 ;0.73 ;1.87 ;26.71 ;5.05
mo1p16                                   ;0.0554 ;0.044988 ;0.0013375 ;41.59 ;31099 ;27.82 ;0.44 ;446.72 ;59.89 ;0.75 ;28.99 ;72.03 ;-9.77 ;33.08 ;84.808 ;4.44 ;8.9 ;28 ;1.92 ;0.77 ;1.33 ;29.28 ;8.03
mo1p17                                   ;0.082 ;0.050888 ;0.0015125 ;21.82 ;14425 ;16.5 ;0.74 ;183.18 ;73.96 ;0 ;38.33 ;73.64 ;-5.74 ;35.79 ;9.382 ;2.24 ;11.8 ;24.64 ;1.78 ;0.72 ;3 ;23.76 ;5.53
mo1p18                                   ;0.066 ;0.046962 ;0.0014 ;25.25 ;18036 ;17.68 ;0.61 ;248.2 ;72.4 ;-2.7 ;43.04 ;73.89 ;-6.1 ;36.68 ;8.899 ;2.19 ;11.3 ;24.14 ;1.87 ;0.84 ;2.86 ;24.95 ;5.3
mo1p19                                   ;0.0525 ;0.042975 ;0.001275 ;34.7 ;27214 ;22.12 ;0.47 ;409.21 ;60.6 ;6.34 ;28.18 ;72.17 ;-9.49 ;32.2 ;7.165 ;1.97 ;13.1 ;27.17 ;1.85 ;0.73 ;1.43 ;25.94 ;5.82
mo1p20                                   ;0.0721 ;0.0483 ;0.0014375 ;43.93 ;30559 ;31.57 ;0.49 ;408.87 ;61.03 ;-1.52 ;34.51 ;68.42 ;-7.27 ;40.12 ;4.503 ;1.5 ;9.9 ;27.55 ;2.2 ;0.83 ;0.9 ;28.13 ;5.82
mo1p21                                   ;0.0671 ;0.048837 ;0.00145 ;33.39 ;23030 ;24.21 ;0.56 ;304.73 ;67.8 ;1.52 ;34.79 ;69.89 ;-7.26 ;33.36 ;3.956 ;1.38 ;10.2 ;27.11 ;2.53 ;0.82 ;0.52 ;26.62 ;6.21
mo1p22                                   ;0.0633 ;0.046712 ;0.0013875 ;42.02 ;30282 ;29.15 ;0.51 ;418.92 ;68.47 ;-7.09 ;34.8 ;71.38 ;-8.07 ;31.96 ;4.746 ;1.56 ;10.7 ;27.88 ;2.08 ;0.75 ;1.05 ;27.9 ;6.06
mo1p23                                   ;0.0616 ;0.045838 ;0.0013625 ;46.64 ;34229 ;31.77 ;0.46 ;482.56 ;67.14 ;-6.33 ;33.07 ;68.55 ;-8.55 ;39.94 ;2.293 ;0.83 ;9.2 ;26.14 ;1.73 ;0.69 ;1.59 ;25.61 ;5.31
mo1p24                                   ;0.0653 ;0.046575 ;0.0013875 ;25.88 ;18651 ;17.95 ;0.62 ;258.79 ;66.73 ;-1.28 ;39.26 ;72.16 ;-7.87 ;36.22 ;8.416 ;2.13 ;11.3 ;26.03 ;1.99 ;0.88 ;2.61 ;25.45 ;6.37
mo1p25                                   ;0.0667 ;0.04725 ;0.0014 ;19.39 ;13853 ;13.58 ;0.71 ;189.46 ;64.75 ;13.85 ;42.87 ;74.73 ;-5.6 ;48.12 ;1.323 ;0.28 ;10.4 ;19.54 ;1.8 ;0.71 ;3.42 ;20.39 ;4.58
mo1p26                                   ;0.0745 ;0.049162 ;0.0014625 ;32.17 ;21995 ;23.52 ;0.61 ;289.11 ;70.31 ;-3.02 ;41.57 ;75.16 ;-6.52 ;36.34 ;2.229 ;0.8 ;10.4 ;25.19 ;1.9 ;0.74 ;2.2 ;24.99 ;5.97
mo1p27                                   ;0.0774 ;0.050963 ;0.0015125 ;23.12 ;15287 ;17.49 ;0.66 ;193.85 ;73 ;-3.39 ;37.9 ;75.42 ;-5.92 ;34.95 ;6.474 ;1.87 ;11 ;24.76 ;1.83 ;0.72 ;2.79 ;24.08 ;5.61
mo1p28                                   ;0.0612 ;0.045675 ;0.0013625 ;51.76 ;37987 ;35.26 ;0.44 ;537.48 ;62.12 ;-6.12 ;35.43 ;68.05 ;-11.01 ;37.99 ;4.974 ;1.6 ;10.2 ;31.57 ;2.24 ;0.81 ;0.29 ;30.54 ;6.61
mo1p29                                   ;0.0588 ;0.045137 ;0.0013375 ;36.22 ;27079 ;24.22 ;0.47 ;387.67 ;70.85 ;-2.42 ;32.17 ;71.24 ;-8.22 ;35.57 ;3.398 ;1.22 ;10.1 ;28.99 ;1.71 ;0.7 ;1.84 ;27.64 ;6.67
mo1p30                                   ;0.0614 ;0.046538 ;0.0013875 ;36.92 ;26613 ;25.62 ;0.54 ;369.56 ;62.85 ;-0.35 ;38.55 ;70.58 ;-9.62 ;34.66 ;2.998 ;1.1 ;9.5 ;30.46 ;1.81 ;0.73 ;1.1 ;29.47 ;5.84
mo1p31                                   ;0.0634 ;0.046163 ;0.001375 ;50.46 ;36700 ;34.69 ;0.43 ;513.78 ;61.67 ;-4.79 ;35.68 ;69.69 ;-11.2 ;35.23 ;3.689 ;1.31 ;9.5 ;30.91 ;1.81 ;0.66 ;0.98 ;30.26 ;6.13
mo1p32                                   ;0.0595 ;0.046025 ;0.0013625 ;26.34 ;19332 ;17.94 ;0.49 ;271.42 ;58.41 ;15.03 ;35.65 ;71.51 ;-6.99 ;37.94 ;4.521 ;1.51 ;10.9 ;25.8 ;1.67 ;0.64 ;2.98 ;25.88 ;5.97
mo1p33                                   ;0.0753 ;0.050388 ;0.0015 ;36.02 ;24015 ;27.02 ;0.69 ;308 ;62.9 ;-2.43 ;35.81 ;69.19 ;-8.38 ;45.68 ;1.878 ;0.63 ;11.5 ;29.44 ;1.76 ;0.75 ;2.93 ;29.5 ;6.67
mo1p34                                   ;0.0709 ;0.048475 ;0.0014375 ;30.88 ;21483 ;22.2 ;0.62 ;286.38 ;65.34 ;-3.36 ;35.99 ;71.89 ;-6.9 ;40.04 ;5.576 ;1.72 ;11.2 ;30.8 ;1.71 ;0.69 ;3.29 ;31.21 ;7.09
mo1p35                                   ;0.0636 ;0.045725 ;0.0013625 ;29.16 ;21398 ;19.86 ;0.66 ;302.43 ;65.1 ;3.45 ;35.77 ;71.11 ;-7.54 ;34.38 ;1.606 ;0.47 ;10.5 ;27.82 ;1.84 ;0.75 ;3.84 ;27.41 ;6.7
