  ;Poids-kg;Diam-m;Def-m;Fmax-N;Fermeté/dép;Travail;p.c.perte;Pression;L surimp;a surimp;b surimp;L fond;a fond;b fond;Ethylène (nmole/h.kg;Log(éthyl);IR (°Brix);AT (meq/100gMF);glucose (g/100gMF);fructose (g/100gMF);saccharose (g/100gMF;citrate (meq/100gMF);malate (meq/100gMF)
bl2p19                                   ;0.0462 ;0.041938 ;0.00125 ;8.94 ;7149.5 ;5.59 ;1.52 ;110.17 ;57.77 ;20.9 ;31.88 ;71.03 ;0.84 ;41.62 ;3.924 ;1.37 ;14.8 ;17.87 ;3.36 ;0.8 ;5.66 ;11.58 ;10.76
bl2p20                                   ;0.0477 ;0.040063 ;0.0011875 ;10.23 ;8616.3 ;6.08 ;1.4 ;138.98 ;66.27 ;7.76 ;38.75 ;69.61 ;-2.23 ;44.82 ;1.947 ;0.67 ;13.2 ;19.02 ;2.91 ;0.66 ;4.65 ;10.78 ;12.48
bl2p21                                   ;0.0423 ;0.039625 ;0.001175 ;7.69 ;6545.6 ;4.52 ;1.2 ;106.74 ;69.4 ;6.09 ;47.93 ;70.2 ;5.86 ;50.56 ;4.701 ;1.55 ;12 ;21.36 ;2.42 ;0.74 ;4.46 ;11 ;12.01
bl2p22                                   ;0.0564 ;0.0452 ;0.0013375 ;11.18 ;8361.4 ;7.48 ;1.16 ;119.54 ;69.09 ;4.99 ;44.67 ;69.95 ;-4.26 ;35.65 ;7.445 ;2.01 ;12.1 ;23.81 ;2.5 ;0.52 ;4.61 ;14.95 ;13.18
bl2p23                                   ;0.0667 ;0.044612 ;0.001325 ;13.53 ;10210 ;8.96 ;0.98 ;147.89 ;68.16 ;1.54 ;40.87 ;69.53 ;-3.69 ;41.42 ;1.011 ;0.01 ;10.4 ;21.58 ;2.19 ;0.54 ;3.93 ;11.07 ;13.52
bl2p24                                   ;0.0468 ;0.04095 ;0.0012125 ;12.95 ;10680 ;7.85 ;0.98 ;168.53 ;70.42 ;0.68 ;45.35 ;70.92 ;-0.45 ;45.57 ;2.52 ;0.92 ;10.3 ;24.85 ;1.93 ;0.57 ;3.53 ;12.32 ;14.44
bl2p25                                   ;0.0425 ;0.040212 ;0.0012 ;9.87 ;8224 ;5.92 ;0.93 ;132.17 ;62.69 ;14.93 ;40.1 ;69.98 ;3.48 ;48.87 ;2.574 ;0.95 ;10.5 ;22.96 ;2.19 ;0.63 ;3.89 ;11.66 ;13.1
bl2p26                                   ;0.0499 ;0.042162 ;0.00125 ;11.23 ;8986 ;7.02 ;0.95 ;137.72 ;67.85 ;8.22 ;37.23 ;71.14 ;-1.97 ;42.67 ;5.348 ;1.68 ;13.6 ;20.98 ;2.54 ;0.56 ;4.73 ;12.66 ;11.88
bl2p27                                   ;0.054 ;0.0432 ;0.0012875 ;12.53 ;9730 ;8.06 ;0.93 ;145.56 ;64.88 ;12.12 ;34.15 ;72.79 ;-2.08 ;46.64 ;3.951 ;1.37 ;11.2 ;17.45 ;2.45 ;0.56 ;4 ;8.02 ;12.48
bl2p28                                   ;0.0474 ;0.041225 ;0.001225 ;10.41 ;8496.7 ;6.38 ;1.18 ;133.19 ;59.85 ;17.87 ;36.03 ;68.08 ;5.52 ;46.03 ;3.461 ;1.24 ;12.8 ;26.12 ;2.46 ;0.67 ;4.81 ;15.22 ;12.61
bl2p29                                   ;0.0489 ;0.042362 ;0.0012625 ;12.67 ;10039 ;8 ;0.94 ;153.15 ;64.21 ;9.95 ;37.5 ;70.64 ;-0.96 ;47.52 ;2.656 ;0.98 ;12.3 ;23.75 ;2.48 ;0.68 ;4.57 ;11.85 ;13.71
bl2p30                                   ;0.0621 ;0.046 ;0.0013625 ;14.23 ;10447 ;9.7 ;1.03 ;146.76 ;68.39 ;2.47 ;42.79 ;70.86 ;-2.05 ;39.19 ;1.625 ;0.49 ;11.2 ;24.73 ;1.79 ;0.5 ;3.53 ;11.88 ;11.35
bl2p31                                   ;0.0573 ;0.043013 ;0.001275 ;12.5 ;9802.3 ;7.97 ;0.96 ;147.26 ;64.77 ;6.25 ;31.85 ;70.63 ;-2.17 ;41.82 ;1.448 ;0.37 ;10.1 ;19.2 ;1.72 ;0.44 ;3.12 ;7.13 ;10.98
bl2p32                                   ;0.063 ;0.0458 ;0.0013625 ;11.07 ;8121.6 ;7.54 ;1.04 ;114.59 ;66.23 ;6.94 ;38.34 ;72.31 ;-0.37 ;42.27 ;3.139 ;1.14 ;12.4 ;20.14 ;2.44 ;0.5 ;4.59 ;11.88 ;10.92
bl2p33                                   ;0.0596 ;0.045775 ;0.0013625 ;12.69 ;9316.8 ;8.65 ;1.06 ;131.53 ;69.78 ;4.12 ;40.1 ;70.47 ;-1.83 ;40.4 ;2.528 ;0.93 ;12.4 ;22.71 ;2.35 ;0.54 ;4.56 ;13.46 ;12.64
bl2p34                                   ;0.0387 ;0.03925 ;0.0011625 ;11.53 ;9915.5 ;6.7 ;0.96 ;163.24 ;66.69 ;4.72 ;39.88 ;69.19 ;-0.99 ;40.34 ;3.664 ;1.3 ;11.7 ;26.65 ;2.14 ;0.57 ;4.21 ;14.46 ;14.93
bl2p35                                   ;0.0473 ;0.04055 ;0.0012 ;9.72 ;8101.4 ;5.83 ;1.02 ;129.1 ;61.64 ;11.14 ;34.63 ;69.13 ;-2.73 ;41.86 ;0.648 ;-0.43 ;13.3 ;22.96 ;2.82 ;0.62 ;4.31 ;12.62 ;13.84
bl2p36                                   ;0.0459 ;0.041912 ;0.00125 ;10.51 ;8405.2 ;6.57 ;1.22 ;129.6 ;61.26 ;13.22 ;34.03 ;68.62 ;4.61 ;39.56 ;4.527 ;1.51 ;13.9 ;19.09 ;2.79 ;0.65 ;4.15 ;10.13 ;10.8
bl2p37                                   ;0.0598 ;0.043675 ;0.0013 ;12.97 ;9976 ;8.43 ;1.12 ;147.61 ;63.05 ;12.11 ;38.61 ;71.73 ;-0.44 ;47.08 ;2.301 ;0.83 ;12.1 ;20.39 ;2.54 ;0.64 ;4.06 ;7.8 ;10.64
bl2p39                                   ;0.0496 ;0.042225 ;0.00125 ;12.73 ;10187 ;7.96 ;0.68 ;155.89 ;64.77 ;7.76 ;35.96 ;70.09 ;0.82 ;46.4 ;1.959 ;0.67 ;10.6 ;26.44 ;2.03 ;0.61 ;3.76 ;12.37 ;14.13
bl2p40                                   ;0.0475 ;0.0415 ;0.0012375 ;10.45 ;8442.5 ;6.46 ;1.11 ;131.47 ;61.96 ;7.4 ;38.05 ;71.34 ;1.81 ;49.12 ;2.299 ;0.83 ;10.3 ;25.95 ;1.94 ;0.6 ;3.59 ;11.9 ;14.93
bl1p01                                   ;0.0514 ;0.0433 ;0.0012875 ;21.9 ;17007 ;14.1 ;0.69 ;253.81 ;59.53 ;10.72 ;30.41 ;66.34 ;-3.6 ;35.72 ;2.017 ;0.7 ;10.5 ;26.06 ;2.6 ;0.8 ;2.14 ;9.87 ;23.24
bl1p02                                   ;0.043 ;0.039 ;0.0011625 ;21 ;18067 ;12.21 ;0.67 ;299.38 ;67.1 ;1.8 ;35.35 ;69.69 ;-6.23 ;37.2 ;1.789 ;0.58 ;9.4 ;27.22 ;2.03 ;0.78 ;2.19 ;10.56 ;21.65
bl1p03                                   ;0.0507 ;0.041412 ;0.001225 ;14.16 ;11556 ;8.67 ;1.15 ;180.31 ;65.5 ;3.69 ;39.6 ;69.44 ;-6.15 ;41.45 ;4.817 ;1.57 ;10 ;25.61 ;2.09 ;0.8 ;2.6 ;9.37 ;19.84
bl1p04                                   ;0.0603 ;0.0446 ;0.001325 ;17.9 ;13512 ;11.86 ;0.84 ;195.78 ;61.92 ;6.23 ;31.93 ;69.11 ;-6.09 ;42.95 ;2.903 ;1.07 ;8.2 ;24.28 ;1.82 ;0.75 ;2.28 ;8.72 ;18.95
bl1p05                                   ;0.0508 ;0.041763 ;0.0012375 ;18.09 ;14618 ;11.19 ;0.69 ;226.18 ;62.96 ;7.17 ;34.04 ;69.31 ;-6.21 ;41.91 ;2.836 ;1.04 ;10 ;23.46 ;2.35 ;0.73 ;2.09 ;9.19 ;17.59
bl1p06                                   ;0.0663 ;0.047387 ;0.0014125 ;14.22 ;10070 ;10.05 ;0.84 ;137.34 ;63.09 ;11.13 ;34.81 ;68.81 ;-5.78 ;35.53 ;3.926 ;1.37 ;10 ;23.69 ;2.32 ;0.7 ;2.7 ;10.51 ;16.85
bl1p07                                   ;0.0443 ;0.03965 ;0.001175 ;13.69 ;11655 ;8.05 ;0.79 ;189.95 ;67.33 ;5.12 ;33.12 ;70.23 ;-3.39 ;38.29 ;2.584 ;0.95 ;10.2 ;24.4 ;2.44 ;0.8 ;2.27 ;10.03 ;18.91
bl1p08                                   ;0.0624 ;0.04435 ;0.0013125 ;15.43 ;11757 ;10.13 ;0.82 ;171.3 ;58.77 ;11.17 ;27.82 ;72.71 ;-4.88 ;40.87 ;0.762 ;-0.27 ;10.6 ;21.19 ;2.48 ;0.75 ;3 ;11.44 ;14.55
bl1p09                                   ;0.0555 ;0.04305 ;0.001275 ;22.04 ;17289 ;14.05 ;0.81 ;259.51 ;62.98 ;3.88 ;35.78 ;68.93 ;-4.66 ;40.83 ;3.964 ;1.38 ;10.2 ;28.3 ;2.07 ;0.8 ;2.89 ;12.29 ;21.29
bl1p10                                   ;0.0602 ;0.043638 ;0.0013 ;19.17 ;14745 ;12.46 ;0.83 ;218.37 ;66.1 ;5.09 ;39.39 ;69.02 ;-6.42 ;40.54 ;1.97 ;0.68 ;10.1 ;25 ;2.21 ;0.73 ;2.76 ;11.45 ;17.87
bl1p11                                   ;0.0568 ;0.043788 ;0.0013 ;21.13 ;16254 ;13.73 ;0.8 ;239.88 ;56.07 ;10.86 ;27.03 ;65.21 ;-4.84 ;34.31 ;3.559 ;1.27 ;10 ;28.93 ;2.23 ;0.78 ;2.23 ;12.76 ;22.5
bl1p12                                   ;0.055 ;0.043987 ;0.0013125 ;15.55 ;11847 ;10.2 ;0.77 ;174.05 ;66.09 ;3.71 ;31.21 ;69.83 ;-6.05 ;35.95 ;2.551 ;0.94 ;9.3 ;22.92 ;2.1 ;0.7 ;2.47 ;9.39 ;18.72
bl1p13                                   ;0.0572 ;0.044312 ;0.0013125 ;18.88 ;14388 ;12.39 ;0.68 ;209.81 ;68.52 ;-2.01 ;37.86 ;71.76 ;-6.63 ;36.47 ;3.6 ;1.28 ;9.7 ;27.03 ;2.19 ;0.67 ;2.56 ;10.94 ;21.74
bl1p14                                   ;0.0425 ;0.0404 ;0.0012 ;11.14 ;9286.8 ;6.69 ;1.05 ;148.55 ;62.8 ;13.49 ;35.91 ;70.23 ;-5.44 ;44.01 ;4.686 ;1.54 ;12 ;21.99 ;2.99 ;0.87 ;3.17 ;12.71 ;15.17
bl1p15                                   ;0.0449 ;0.039238 ;0.0011625 ;11.83 ;10177 ;6.88 ;0.86 ;167.6 ;59.52 ;15.92 ;30.46 ;71.57 ;-4.35 ;44.27 ;5.92 ;1.78 ;11.5 ;19.01 ;2.85 ;0.87 ;3.32 ;8.5 ;14.52
bl1p16                                   ;0.0621 ;0.045163 ;0.0013375 ;14.88 ;11127 ;9.95 ;0.89 ;159.2 ;68.34 ;-0.78 ;40.17 ;70.31 ;-3.81 ;39.94 ;4.183 ;1.43 ;11.3 ;26.74 ;2.38 ;0.78 ;3.48 ;13.48 ;17.87
bl1p17                                   ;0.0439 ;0.039738 ;0.001175 ;13.8 ;11747 ;8.11 ;0.82 ;191.02 ;62.64 ;11.17 ;33.12 ;66.58 ;-1.52 ;45.67 ;2.991 ;1.1 ;10.3 ;23.71 ;2.51 ;0.72 ;2.74 ;13.14 ;17.48
bl1p18                                   ;0.0509 ;0.042987 ;0.001275 ;18.03 ;14142 ;11.49 ;0.67 ;212.58 ;65.47 ;5.68 ;32.84 ;65.1 ;-6.66 ;33.49 ;2.949 ;1.08 ;9.3 ;22.89 ;2.44 ;0.77 ;2.08 ;11.16 ;16.82
bl1p19                                   ;0.0609 ;0.045088 ;0.0013375 ;14.13 ;10562 ;9.45 ;0.94 ;151.37 ;59.44 ;-1.73 ;38.27 ;71.18 ;-5.56 ;39.4 ;3.063 ;1.12 ;9.4 ;22.96 ;2.17 ;0.76 ;2.91 ;9.06 ;18.5
bl1p20                                   ;0.0445 ;0.0402 ;0.0011875 ;10.29 ;8665.8 ;6.11 ;1.03 ;139.29 ;69.22 ;3.12 ;35.66 ;70.84 ;-4.3 ;42.68 ;3.737 ;1.32 ;11.1 ;18.79 ;2.8 ;0.7 ;2.95 ;8.96 ;15.23
bl1p21                                   ;0.0553 ;0.04425 ;0.0013125 ;13.09 ;9970.7 ;8.59 ;1.07 ;145.61 ;65.79 ;3.02 ;33.15 ;71.95 ;-4.34 ;43.78 ;1.911 ;0.65 ;10.2 ;20.97 ;2.48 ;0.77 ;2.36 ;8 ;18.62
bl1p22                                   ;0.0568 ;0.043675 ;0.0013 ;13.4 ;10308 ;8.71 ;0.94 ;152.52 ;67.02 ;3.14 ;39.07 ;68.38 ;-5.17 ;40.04 ;4.242 ;1.44 ;10.7 ;25.24 ;2.56 ;0.79 ;3.82 ;13.57 ;13.97
bl1p23                                   ;0.0516 ;0.042688 ;0.0012625 ;13.88 ;10995 ;8.76 ;0.85 ;166.43 ;62.54 ;8.95 ;32.55 ;70.15 ;-5.99 ;43.57 ;3.558 ;1.27 ;11 ;20.31 ;3.1 ;0.83 ;3.76 ;10.09 ;15.73
bl1p24                                   ;0.0537 ;0.042487 ;0.0012625 ;10.5 ;8314.2 ;6.63 ;1.09 ;126.46 ;65.45 ;7.14 ;39.39 ;70.05 ;-3.82 ;45.09 ;3.969 ;1.38 ;12.3 ;18.87 ;3.06 ;0.85 ;4.3 ;9.58 ;14.23
bl1p25                                   ;0.0547 ;0.0434 ;0.0012875 ;13.95 ;10835 ;8.98 ;0.78 ;161.33 ;66.24 ;4.26 ;40.13 ;70.34 ;-3.77 ;44.72 ;5.148 ;1.64 ;9 ;22.36 ;3.08 ;0.8 ;4.28 ;11.64 ;16.17
bl1p26                                   ;0.0542 ;0.042425 ;0.0012625 ;20.08 ;15906 ;12.68 ;0.8 ;242.28 ;64.23 ;6.2 ;32.79 ;70.68 ;-6.27 ;36.99 ;1.511 ;0.41 ;9.4 ;23.86 ;2.37 ;0.75 ;2.53 ;9.46 ;18.87
bl1p27                                   ;0.0774 ;0.049987 ;0.0014875 ;20.63 ;13869 ;15.34 ;0.65 ;179.3 ;65.06 ;6.57 ;31.89 ;70.99 ;-7.36 ;38.17 ;1.522 ;0.42 ;9.2 ;24.16 ;2.28 ;0.7 ;2.95 ;9.63 ;18.98
bl1p28                                   ;0.0613 ;0.045338 ;0.00135 ;12.17 ;9017.9 ;8.22 ;0.91 ;128.54 ;59.1 ;12.41 ;34.64 ;70.3 ;-5.44 ;45.16 ;2.523 ;0.93 ;9.8 ;17.86 ;2.5 ;0.78 ;3.09 ;6.05 ;16.89
bl1p29                                   ;0.0389 ;0.03815 ;0.0011375 ;11.78 ;10358 ;6.7 ;1.25 ;175.46 ;67.74 ;3.49 ;39.43 ;70.79 ;-4.41 ;40.91 ;2.371 ;0.86 ;10.3 ;23.17 ;2.51 ;0.88 ;3.48 ;10.11 ;18.1
bl1p30                                   ;0.0599 ;0.045363 ;0.00135 ;15.1 ;11183 ;10.19 ;0.99 ;159.32 ;63.43 ;4.54 ;35.34 ;69.76 ;-2.64 ;38.15 ;3.065 ;1.12 ;10.8 ;24.91 ;2.47 ;0.71 ;4.02 ;14.67 ;15.36
bl1p31                                   ;0.0478 ;0.040825 ;0.0012125 ;13.96 ;11513 ;8.46 ;0.98 ;182.24 ;65.85 ;5.04 ;34.69 ;70.53 ;-5.66 ;39.39 ;2.464 ;0.9 ;10.5 ;24.01 ;2.59 ;0.8 ;3.36 ;10.7 ;19.84
